Date:,Peak Players:
August 2012,"52,596"
September 2012,"36,870"
October 2012,"50,533"
November 2012,"50,533"
December 2012,"31,359"
January 2013,"35,238"
February 2013,"35,597"
March 2013,"32,414"
April 2013,"53,379"
May 2013,"53,381"
June 2013,"42,149"
July 2013,"50,511"
August 2013,"52,052"
September 2013,"53,263"
October 2013,"92,279"
November 2013,"96,298"
December 2013,"102,084"
January 2014,"119,764"
February 2014,"164,495"
March 2014,"164,781"
April 2014,"170,137"
May 2014,"173,629"
June 2014,"194,016"
July 2014,"277,192"
August 2014,"275,014"
September 2014,"260,613"
October 2014,"348,018"
November 2014,"367,634"
December 2014,"443,188"
January 2015,"455,508"
February 2015,"595,439"
March 2015,"568,556"
April 2015,"569,848"
May 2015,"681,170"
June 2015,"611,284"
July 2015,"546,142"
August 2015,"819,902"
September 2015,"725,939"
October 2015,"786,707"
November 2015,"691,930"
December 2015,"823,694"
January 2016,"667,432"
February 2016,"738,969"
March 2016,"800,869"
April 2016,"850,485"
May 2016,"638,088"
June 2016,"579,110"
July 2016,"636,056"
August 2016,"599,095"
September 2016,"638,360"
October 2016,"661,985"
November 2016,"627,124"
December 2016,"662,460"
January 2017,"814,616"
February 2017,"744,468"
March 2017,"742,356"
April 2017,"695,235"
May 2017,"697,189"
June 2017,"614,621"
July 2017,"640,277"
August 2017,"598,656"
September 2017,"681,413"
October 2017,"644,082"
November 2017,"602,797"
December 2017,"601,351"
January 2018,"719,298"
February 2018,"691,196"
March 2018,"674,462"
April 2018,"523,827"
May 2018,"454,436"
June 2018,"422,310"
July 2018,"429,650"
August 2018,"456,907"
September 2018,"587,639"
October 2018,"567,916"
November 2018,"546,192"
December 2018,"749,638"
January 2019,"687,299"
February 2019,"656,097"
March 2019,"683,952"
April 2019,"622,852"
May 2019,"592,848"
June 2019,"591,839"
July 2019,"579,696"
August 2019,"659,195"
September 2019,"723,700"
October 2019,"754,909"
November 2019,"764,438"
December 2019,"771,640"
January 2020,"822,490"
February 2020,"933,748"
March 2020,"1,226,724"
April 2020,"1,308,963"
May 2020,"1,179,111"
June 2020,"957,636"
July 2020,"861,948"
August 2020,"932,283"
September 2020,"980,879"
October 2020,"951,748"
November 2020,"1,040,051"
December 2020,"1,169,661"
January 2021,"1,125,411"
February 2021,"1,125,838"
March 2021,"1,201,993"
April 2021,"1,150,982"
May 2021,"1,088,168"
June 2021,"929,940"
July 2021,"766,510"
August 2021,"804,133"
September 2021,"949,817"
October 2021,"866,030"
November 2021,"944,330"
December 2021,"950,586"
January 2022,"992,455"
February 2022,"997,730"
March 2022,"993,808"
April 2022,"1,016,762"
May 2022,"932,681"
June 2022,"906,968"
July 2022,"928,329"
August 2022,"1,039,889"
September 2022,"1,103,223"
October 2022,"1,090,858"
November 2022,"1,132,952"
December 2022,"1,067,327"
January 2023,"1,200,077"
February 2023,"1,355,797"
March 2023,"1,519,457"
April 2023,"1,514,410"
May 2023,"1,818,773"
June 2023,"1,673,717"
July 2023,"1,226,527"
August 2023,"1,539,504"
September 2023,"1,560,435"
October 2023,"1,392,488"
November 2023,"1,163,388"
December 2023,"1,255,172"
January 2024,"1,312,422"
February 2024,"1,403,250"
March 2024,"1,525,069"